service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
a1000,1,1,1,1,1,0,0,20140824,20150110
a1022,0,0,0,0,1,0,0,20140824,20150110
a1029,0,0,0,1,1,0,0,20140824,20150110
a1047,1,1,1,1,1,0,0,20140827,20141204
a1048,0,0,0,0,0,0,0,20140824,20150110
a1049,0,0,0,0,0,0,0,20140824,20150110
a1123,1,1,1,1,0,0,0,20140827,20141204
a1124,0,0,0,0,1,0,0,20140829,20141128
a1133,1,1,1,1,0,0,0,20140824,20150110
a1134,0,0,0,0,1,0,0,20140824,20150110
a1140,0,0,0,1,0,0,0,20140824,20150110
a1141,0,0,1,0,0,0,0,20140824,20150110
a1142,1,0,0,0,0,0,0,20140824,20150110
a1999,0,1,1,1,1,1,0,20140824,20150110
a4000,0,0,0,0,0,1,0,20140824,20150110
a4155,0,0,0,0,0,1,0,20140824,20150110
a4207,0,0,0,0,0,1,0,20140824,20150110
a5000,0,0,0,0,0,0,1,20140824,20150110
a5196,0,0,0,0,0,0,1,20141102,20141102
a5210,0,0,0,0,0,0,1,20140907,20141214
b1000,1,1,1,1,1,0,0,20150112,20150605
b1021,0,1,0,1,0,0,0,20150111,20150606
b1022,0,0,0,0,1,0,0,20150111,20150606
b1028,1,0,1,0,1,0,0,20150111,20150606
b1029,0,0,0,1,1,0,0,20150115,20150508
b1047,1,1,1,1,1,0,0,20150120,20150508
b1048,0,0,0,0,0,0,0,20150111,20150606
b1049,0,0,0,0,0,0,0,20150111,20150606
b1050,0,0,0,0,0,0,0,20150111,20150606
b1123,1,1,1,1,0,0,0,20150120,20150507
b1124,0,0,0,0,1,0,0,20150123,20150508
b1133,1,1,1,1,0,0,0,20150112,20150604
b1134,0,0,0,0,1,0,0,20150116,20150605
b1140,0,0,0,1,0,0,0,20150111,20150606
b1141,0,0,1,0,0,0,0,20150111,20150606
b1142,1,0,0,0,0,0,0,20150111,20150606
b1147,0,0,0,0,0,0,0,20150111,20150606
b1999,0,1,1,1,1,1,0,20150111,20150606
b4000,0,0,0,0,0,1,0,20150117,20150606
b4155,0,0,0,0,0,1,0,20150117,20150530
b4156,0,0,0,0,0,0,0,20150111,20150606
b4207,0,0,0,0,0,1,0,20150117,20150509
b5000,0,0,0,0,0,0,1,20150111,20150531
b5210,0,0,0,0,0,0,1,20150125,20150517
