service_id,date,exception_type
a1000,20140901,2
a1000,20141127,2
a1000,20141128,2
a1000,20141225,2
a1000,20150101,2
a4000,20141128,1
a5000,20140901,1
a5000,20141127,1
a5000,20141225,1
a5000,20150101,1
a4207,20141129,2
a1047,20141127,2
a1047,20141128,2
a1124,20141128,2
a1048,20140825,1
a1048,20140826,1
a1049,20141208,1
a1049,20141209,1
a1049,20141210,1
a1049,20141211,1
a1049,20141212,1
a1049,20141213,1
a1049,20141215,1
a1049,20141216,1
a1133,20141127,2
a1134,20141128,2
a1140,20141127,2
a1022,20141128,2
b1000,20150119,2
b1000,20150525,2
b4000,20150119,1
b5000,20150525,1
b1048,20150113,1
b1048,20150114,1
b1048,20150115,1
b1048,20150116,1
b1048,20150602,1
b1048,20150603,1
b1049,20150511,1
b1049,20150512,1
b1049,20150513,1
b1049,20150514,1
b1049,20150515,1
b1049,20150516,1
b1049,20150518,1
b1050,20150604,1
b1050,20150605,1
b1133,20150318,2
b1133,20150319,2
b1134,20150320,2
b1147,20150318,1
b1147,20150319,1
b1147,20150320,1
b4155,20150314,2
b4155,20150321,2
b4155,20150502,2
b4156,20150314,1
b4156,20150321,1
b4156,20150502,1
