route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,666,1,Metric/South Congress,,3,http://www.capmetro.org/schedulemap.aspx?f1=001,0033FF,FFFFFF
2,666,2,Rosewood,,3,http://www.capmetro.org/schedulemap.aspx?f1=002,0033FF,FFFFFF
3,666,3,Burnet/Manchaca,,3,http://www.capmetro.org/schedulemap.aspx?f1=003,0033FF,FFFFFF
4,666,4,Montopolis,,3,http://www.capmetro.org/schedulemap.aspx?f1=004,0033FF,FFFFFF
5,666,5,Woodrow/South 5th,,3,http://www.capmetro.org/schedulemap.aspx?f1=005,0033FF,FFFFFF
6,666,6,East 12th,,3,http://www.capmetro.org/schedulemap.aspx?f1=006,0033FF,FFFFFF
7,666,7,Duval / Dove Springs,,3,http://www.capmetro.org/schedulemap.aspx?f1=007,0033FF,FFFFFF
10,666,10,South 1st/Red River,,3,http://www.capmetro.org/schedulemap.aspx?f1=010,0033FF,FFFFFF
17,666,17,Cesar Chavez,,3,http://www.capmetro.org/schedulemap.aspx?f1=017,0033FF,FFFFFF
18,666,18,Martin Luther King,,3,http://www.capmetro.org/schedulemap.aspx?f1=018,0033FF,FFFFFF
19,666,19,Bull Creek,,3,http://www.capmetro.org/schedulemap.aspx?f1=019,0033FF,FFFFFF
20,666,20,Manor Rd/Riverside,,3,http://www.capmetro.org/schedulemap.aspx?f1=020,0033FF,FFFFFF
21,666,21,Exposition,,3,http://www.capmetro.org/schedulemap.aspx?f1=021,0033FF,FFFFFF
22,666,22,Chicon,,3,http://www.capmetro.org/schedulemap.aspx?f1=022,0033FF,FFFFFF
30,666,30,Barton Creek Sq,,3,http://www.capmetro.org/schedulemap.aspx?f1=030,0033FF,FFFFFF
37,666,37,Colony Park/Windsor Park,,3,http://www.capmetro.org/schedulemap.aspx?f1=037,0033FF,FFFFFF
100,666,100,MetroAirport,,3,http://www.capmetro.org/schedulemap.aspx?f1=100,FFFF00,000000
103,666,103,Manchaca Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=103,FFFF00,000000
110,666,110,South Central Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=110,FFFF00,000000
111,666,111,South Mopac Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=111,FFFF00,000000
122,666,122,Four Points Limited,,3,http://www.capmetro.org/schedulemap.aspx?f1=122,FFFF00,000000
127,666,127,Dove Springs Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=127,FFFF00,000000
135,666,135,Dell Limited,,3,http://www.capmetro.org/schedulemap.aspx?f1=135,FFFF00,000000
142,666,142,Metric Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=142,FFFF00,000000
171,666,171,Oak Hill Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=171,FFFF00,000000
201,666,201,Southpark Meadows,,3,http://www.capmetro.org/schedulemap.aspx?f1=201,9900FF,000000
214,666,214,Northwest Flex,,3,http://www.capmetro.org/schedulemap.aspx?f1=214,9900FF,000000
228,666,228,Burleson,,3,http://www.capmetro.org/schedulemap.aspx?f1=228,9900FF,000000
238,666,238,Westgate,,3,http://www.capmetro.org/schedulemap.aspx?f1=238,9900FF,000000
240,666,240,Rutland,,3,http://www.capmetro.org/schedulemap.aspx?f1=240,9900FF,000000
243,666,243,Wells Branch,,3,http://www.capmetro.org/schedulemap.aspx?f1=243,9900FF,000000
271,666,271,Del Valle Flex,,3,http://www.capmetro.org/schedulemap.aspx?f1=271,9900FF,000000
275,666,275,North Lamar Feeder,,3,http://www.capmetro.org/schedulemap.aspx?f1=275,9900FF,000000
300,666,300,Govalle,,3,http://www.capmetro.org/schedulemap.aspx?f1=300,33FF00,000000
311,666,311,Stassney,,3,http://www.capmetro.org/schedulemap.aspx?f1=311,33FF00,000000
320,666,320,St Johns,,3,http://www.capmetro.org/schedulemap.aspx?f1=320,33FF00,000000
323,666,323,Anderson,,3,http://www.capmetro.org/schedulemap.aspx?f1=323,33FF00,000000
325,666,325,Ohlen,,3,http://www.capmetro.org/schedulemap.aspx?f1=325,33FF00,000000
331,666,331,Oltorf,,3,http://www.capmetro.org/schedulemap.aspx?f1=331,33FF00,000000
333,666,333,William Cannon,,3,http://www.capmetro.org/schedulemap.aspx?f1=333,33FF00,000000
338,666,338,Lamar/45th,,3,http://www.capmetro.org/schedulemap.aspx?f1=338,33FF00,000000
350,666,350,Airport Blvd,,3,http://www.capmetro.org/schedulemap.aspx?f1=350,33FF00,000000
383,666,383,Research,,3,http://www.capmetro.org/schedulemap.aspx?f1=383,33FF00,000000
392,666,392,Braker,,3,http://www.capmetro.org/schedulemap.aspx?f1=392,33FF00,000000
410,666,410,E-Bus/West Campus,,3,http://www.capmetro.org/schedulemap.aspx?f1=410,669999,000000
411,666,411,E-Bus/Riverside,,3,http://www.capmetro.org/schedulemap.aspx?f1=411,669999,000000
412,666,412,E-Bus/Main Campus,,3,http://www.capmetro.org/schedulemap.aspx?f1=412,669999,000000
464,666,464,MLK Jr/Capitol,,3,http://www.capmetro.org/schedulemap.aspx?f1=464,CCFFFF,000000
465,666,465,MLK/University of Texas,,3,http://www.capmetro.org/schedulemap.aspx?f1=465,CCFFFF,000000
466,666,466,Kramer/Domain,,3,http://www.capmetro.org/schedulemap.aspx?f1=466,CCFFFF,000000
481,666,481,Night Owl North Lamar,,3,http://www.capmetro.org/schedulemap.aspx?f1=481,669999,000000
483,666,483,Night Owl Riverside,,3,http://www.capmetro.org/schedulemap.aspx?f1=483,669999,000000
484,666,484,Night Owl South Lamar,,3,http://www.capmetro.org/schedulemap.aspx?f1=484,669999,000000
485,666,485,Night Owl Cameron,,3,http://www.capmetro.org/schedulemap.aspx?f1=485,669999,000000
486,666,486,Night Owl South Congress,,3,http://www.capmetro.org/schedulemap.aspx?f1=486,669999,000000
490,666,490,HEB Shuttle,,3,http://www.capmetro.org/schedulemap.aspx?f1=490,669999,000000
491,666,491,Allandale,,3,http://www.capmetro.org/schedulemap.aspx?f1=491,669999,000000
492,666,492,Delwood,,3,http://www.capmetro.org/schedulemap.aspx?f1=492,669999,000000
550,666,550,Metro Rail Red Line,,2,http://www.capmetro.org/schedulemap-rail.aspx?f1=550,E60000,FFFFFF
640,666,640,FA Forty Acres,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=640,FF6600,000000
641,666,641,EC East Campus,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=641,FF6600,000000
642,666,642,WC West Campus/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=642,FF6600,000000
653,666,653,RR Red River/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=653,FF6600,000000
656,666,656,IF Intramural Fields/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=656,FF6600,000000
661,666,661,FW Far West/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=661,FF6600,000000
663,666,663,LA Lake Austin/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=663,FF6600,000000
670,666,670,CP Crossing Place,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=670,FF6600,000000
671,666,671,NR North Riverside,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=671,FF6600,000000
672,666,672,LS Lakeshore,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=672,FF6600,000000
680,666,680,NR/LS North Riverside/Lakeshore,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=680,FF6600,000000
681,666,681,IF/FW Intramural/Far West,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=681,FF6600,000000
801,666,801,N Lamar S Congress,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=801,FFFF00,000000
803,666,803,Burnet/S Lamar,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=803,FFFF00,000000
935,666,935,Tech Ridge Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=935,FF0000,000000
970,666,970,AMD/Lantana Campus,,3,http://www.capmetro.org/schedulemap.aspx?f1=970,FF0000,000000
982,666,982,Pavilion Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=982,FF0000,000000
983,666,983,N US183 Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=983,FF0000,000000
985,666,985,Leander/Lakeline Direct,,3,http://www.capmetro.org/schedulemap.aspx?f1=985,FF0000,000000
987,666,987,Leander/Lakeline Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=987,FF0000,000000
990,666,990,Manor/Elgin Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=990,FF0000,000000
