route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1,a1000,1356315,SOUTHBOUND,,0,001-09,32616,1
1,a1000,1356316,SOUTHBOUND,,0,001-91,32617,1
1,a1000,1356317,SOUTHBOUND,,0,001-02,32616,1
1,a1000,1356318,SOUTHBOUND,,0,001-10,32616,1
1,a1000,1356319,SOUTHBOUND,,0,001-08,32616,1
1,a1000,1356320,SOUTHBOUND,,0,001-06,32616,1
1,a1000,1356321,SOUTHBOUND,,0,001-11,32616,1
1,a1000,1356322,SOUTHBOUND,,0,001-04,32616,1
1,a1000,1356323,SOUTHBOUND,,0,001-02,32616,1
1,a1000,1356324,SOUTHBOUND,,0,001-09,32616,1
1,a1000,1356325,SOUTHBOUND,,0,001-07,32614,1
1,a1000,1356326,SOUTHBOUND,,0,001-05,32614,1
1,a1000,1356327,SOUTHBOUND,,0,001-03,32614,1
1,a1000,1356328,SOUTHBOUND,,0,001-01,32616,1
1,a1000,1356329,SOUTHBOUND,,0,001-10,32616,1
1,a1000,1356330,SOUTHBOUND,,0,001-08,32616,1
1,a1000,1356331,SOUTHBOUND,,0,001-06,32616,1
1,a1000,1356332,SOUTHBOUND,,0,001-04,32616,1
1,a1000,1356333,SOUTHBOUND,,0,001-02,32616,1
1,a1000,1356334,SOUTHBOUND,,0,001-05,32617,1
1,a1000,1356335,SOUTHBOUND,,0,001-03,32617,1
1,a1000,1356336,SOUTHBOUND,,0,001-10,32614,1
1,a1000,1356337,SOUTHBOUND,,0,001-01,32614,1
1,a1000,1356338,SOUTHBOUND,,0,001-08,32614,1
1,a1000,1356339,SOUTHBOUND,,0,001-06,32614,1
1,a1000,1356340,SOUTHBOUND,,0,001-11,32614,1
1,a1000,1356341,SOUTHBOUND,,0,001-04,32614,1
1,a1000,1356342,SOUTHBOUND,,0,001-02,32616,1
1,a1000,1356343,SOUTHBOUND,,0,001-90,32615,1
1,a1000,1356344,SOUTHBOUND,,0,001-07,32616,1
1,a1000,1356345,SOUTHBOUND,,0,001-03,32616,1
1,a1000,1356346,SOUTHBOUND,,0,001-01,32616,1
1,a1000,1356347,SOUTHBOUND,,0,001-05,32616,1
1,a1000,1356348,SOUTHBOUND,,0,001-91,32616,1
1,a1000,1356349,SOUTHBOUND,,0,001-92,32615,1
1,a1000,1356350,SOUTHBOUND,,0,001-01,32615,1
1,a1000,1356351,SOUTHBOUND,,0,001-06,32615,1
1,a1000,1356352,SOUTHBOUND,,0,001-04,32615,1
1,a1000,1356353,SOUTHBOUND,,0,001-02,32615,1
1,a1000,1356354,SOUTHBOUND,,0,001-09,32615,1
1,a1000,1356355,NORTHBOUND,,1,001-09,32621,1
1,a1000,1356356,NORTHBOUND,,1,001-08,32620,1
1,a1000,1356357,NORTHBOUND,,1,001-04,32618,1
1,a1000,1356358,NORTHBOUND,,1,001-90,32618,1
1,a1000,1356359,NORTHBOUND,,1,001-02,32618,1
